ð ə; the
v ˈ ɪ d i oʊ; video
k ˌ æ l ə f ˈ ɔ ɹ n j ə; california
s p ˈ ɛ ʃ ə l; special
w ˈ ɪ n; win winn winne wynn wynne
p ˈ ɑ p j ə l ɝ; popular
ə p ˈ ɪ ɹ d; appeared
m ˈ æ t͡ʃ; mache match matsch
ɹ i l ˈ i s; release
k ˈ ɑ m ə n; common
b ˈ æ t ə l; battle
ˈ ɛ ɹ i ə z; area's areas
h ˈ ɔ l; hall haul
ɪ v ˈ ɛ n t; event
w ˈ ɝ k ɪ ŋ; werking working
ɹ ə k ˈ ɔ ɹ d z; records
d͡ʒ ˈ eɪ m z; james james'
f ˈ ɔ ɹ m d; formed
ɹ ˈ aɪ t; reit right rite wright write
p l ˈ eɪ ɪ ŋ; playing
s ˈ i; c c. cie sci sea see si sie sieh
ˈ æ v ɝ ɪ d͡ʒ; average
ˈ ʌ ð ɝ z; other's others others'
ʃ ˈ ɔ ɹ t; short shortt
s ˈ ɪ m ə l ɝ; similar simler
t ˈ i m z; team's teams teams' teems
ɪ l ˈ ɛ k t ə d; elected
d͡ʒ ˈ ɔ ɹ d͡ʒ; george
k ˈ ɝ ə n t l i; currently
m ˈ eɪ k ɪ ŋ; making
ɪ g z ˈ æ m p ə l; example
ə w ˈ ɔ ɹ d z; awards
k ə n s t ɹ ˈ ʌ k ʃ ə n; construction
s t ˈ ɔ ɹ i; storey storie story
l ˈ ɪ v ɪ ŋ; living
ɹ ˈ ɛ d; read reade red redd
ɝ ˈ ɪ d͡ʒ ə n ə l i; originally
d eɪ b j ˈ u; debut
ɹ ˈ eɪ s; race rais
l ˈ æ ŋ g w ə d͡ʒ; language
f ˈ ɔ ɹ s ɪ z; force's forces forces'
l ˈ ɑ; la
s ˈ aɪ n d; signed
d ɪ v ˈ ɛ l ə p t; developed
m ˈ ɑ d ɝ n; modern
ə p ˈ ɔɪ n t ɪ d; appointed
k ˈ eɪ s; caisse case cayce
ə d ˈ ɪ ʃ ə n; addition edition
p ə l ˈ i s; police
w ˈ aɪ f; wife
ɹ ɪ z ˈ ʌ l t; result
m ˈ ɪ n ə s t ɝ; minister
s k ˈ u l z; school's schools schools'
ɪ v ˈ ɛ n t s; event's events
ə m ˈ ɛ ɹ ə k ə; america
ɹ ˈ u t; root route
l ˈ ɪ t ə l; littell little lyttle
l ˈ eɪ k; lake
k ˈ æ n ə d ə; canada
h ɪ m s ˈ ɛ l f; himself
s ˈ ɔ ŋ z; song's songs
k ˈ ɝ ə n t; current
ə p ˈ ɑ n; upon
h ˈ aʊ; hao hau how howe
p ˈ ɔɪ n t s; point's points
ɹ ˈ ɑ k; roc roch rock rocke rocque
p ɹ ˈ ɛ z ə n t; present
n ˈ ɛ v ɝ; never
f ɹ ˈ i; free freeh
s ˈ aɪ ə n s; science
ˌ ɪ n f ɝ m ˈ eɪ ʃ ə n; information
h ˈ ɛ l θ; health
t ɹ ˈ eɪ n ɪ ŋ; training
k l ˈ æ s; class klas klass
θ ɹ u ˈ aʊ t; throughout
t ɹ ˈ æ k; trac track trak
g ˈ ʊ d; good goode
m ˈ i d i ə; media
m j u z ˈ i ə m; museum
ə k ɹ ˈ ɔ s; across
ɔ s t ɹ ˈ eɪ l j ə n; australian
h j ˈ u m ə n; heuman heumann human humann
s ˈ ɛ n s ə s; census
ˈ ɪ n d i ə n; indian
s t ˈ aɪ l; stile style
p ˈ ɝ s ɪ n ə l; personal
l ˈ ʌ v; love
d͡ʒ ˈ ɝ m ə n i; germany
ə v ˈ eɪ l ə b ə l; available
p ɹ ˈ ɑ v ə n s; province
t ˈ ʊ ɹ; tour ture
ə w ˈ eɪ; away
ɪ v ˈ ɛ n t͡ʃ ə w ə l i; eventually
b ˈ ɑ d i; boddie boddy body
d ɪ s p ˈ aɪ t; despite
ˈ i s t ɝ n; eastern
s ˈ oʊ l d; sold
k ə m ˈ ɪ t i; committee
p ɝ f ˈ ɔ ɹ m ə n s; performance
p l ˈ eɪ ɝ z; player's players players'
f ˈ i t͡ʃ ɝ z; features
f ˈ ɛ s t ə v ə l; festival
k ˈ oʊ t͡ʃ; coach
ʃ ˈ ʊ d; schuld should
ɹ ɪ t ˈ ɝ n; return
t ˈ eɪ k ə n; taken
s ˈ ɛ v ə n; seven
f ˈ ɑ l oʊ d; followed
d ɪ z ˈ aɪ n d; designed
p ɝ f ˈ ɔ ɹ m d; performed
ə f ˈ ɪ ʃ ə l; official
d ˈ eɪ v ɪ d; david
l ˈ ɛ s; les less
g ˈ eɪ v; gave
m ˈ ʌ n θ s; month's months
f ˈ ɪ n ɪ ʃ t; finished
d ˈ ɔ t ɝ; daughter
p ɹ ˈ ɑ s ˌ ɛ s; process
ɹ ə f ˈ ɝ; refer
s t ˈ ʌ d i; study
j ˈ ʊ ɹ ə p; europe
ˈ ɪ n s t ə t ˌ u t; institute
s t ˈ eɪ d͡ʒ; stage
t ˈ ɝ m; term
ɹ ˈ eɪ n d͡ʒ; range
t͡ʃ ˈ i f; chief
f ˈ aɪ ɝ; fire
d ˈ ʌ z; does
ɹ ˈ aɪ t s; reits reitz right's rights rights' rite's rites wright's wrights writes
k ə m p l ˈ i t ə d; completed
ˈ ɑ ɹ t s; art's arts artz
h ˈ æ f; haff half
ɹ ɪ m ˈ eɪ n d; remained
l ˈ ɑ ɹ d͡ʒ ə s t; largest
m ˈ ʌ ð ɝ; mother
k ˈ ɛ ɹ ɪ k t ɝ; character
ˌ ɪ n k l ˈ u d z; includes
s ˈ ɪ v ə l; civil
p ɹ ˈ aɪ v ə t; private
l ˈ aɪ t; light lite
l ˈ i d ɪ ŋ; leading
ɹ ˌ i p ˈ ɔ ɹ t ɪ d; reported
n ˈ ɛ t w ˌ ɝ k; network
h ˈ ɛ l p; help
j ˈ u ʒ ə w ə l i; usually
s ˈ i n; scene seen
g ɹ ˈ u p s; group's groups groups'
s t ˈ ʌ d i z; studies study's
f ˈ i t͡ʃ ɝ d; featured
f ˈ ɛ d ɝ ə l; federal federle
f ˈ ʊ l; full
ˈ ɛ p ə s ˌ oʊ d; episode
ð ˈ ʌ s; thus
ə k ˈ æ d ə m i; academy
n ˈ aɪ t; knight night nite
k ˌ ɑ m p ə t ˈ ɪ ʃ ə n; competition
w ˈ ɪ m ə n z; women's womens'
s p ˈ eɪ s; space
g ˈ ɛ t; get goette
ˌ ɪ n s t ˈ ɛ d; instead
t͡ʃ ˈ aɪ n ə; china
m ˈ ʌ s t; must
ɹ ˈ ɑ b ɝ t; robert
d͡ʒ ˌ æ p ə n ˈ i z; japanese
g ˈ oʊ; gau go goe gogh goh
w ˈ ɑ ʃ ɪ ŋ t ə n; washington
f ɹ ˈ ʌ n t; front
j ˌ u k ˈ eɪ; u.k. uk
d ɝ ˈ ɛ k t ə d; directed
t ˈ ʊ ɹ n ə m ə n t; tournament
m ˈ aɪ; mai my
t ˈ ɑ m ə s; thomas
n ˈ u z; news news'
b ˈ ʊ k s; book's books books'
b ɹ ˈ ʌ ð ɝ; brother
ˌ ɪ n v ˈ ɑ l v d; involved
k æ m p ˈ eɪ n; campaign
ˌ ɪ n d ɪ p ˈ ɛ n d ə n t; independent
ˈ i ð ɝ; either
m ˈ ɑ d ə l; model
k ˈ ʌ n t ɹ i z; countries countries' country's
ə w ˈ ɔ ɹ d ɪ d; awarded
ˈ eɪ b ə l; abel abell able
d͡ʒ ə p ˈ æ n; japan
s p ˈ ɔ ɹ t s; sport's sports sports'
t͡ʃ ˈ ɑ ɹ l z; charles charles' charls
g ˈ oʊ l d; gold golde
s ˈ ɛ k ʃ ə n; section
k ˈ æ p ə t ə l; capital
k ˈ ɪ ŋ d ə m; kingdom
k l ˈ oʊ s; close
m ˈ ɪ d ə l; middle
ˈ æ d ə d; added
f ˈ ɔ ɹ θ; forth fourth
s ˈ ɛ n t; cent scent sent
m ˈ u v m ə n t; movement
ˈ eɪ t; ate aydt eight
s t ˈ u d i ˌ oʊ; studio
p ɹ ˈ i v i ə s; previous
p ɹ ə v ˈ aɪ d ɪ d; provided
k ˈ ɑ n f ɝ ə n s; conference
ə b ˈ ʌ v; above
s ˈ u n; soon suen
t ə d ˈ eɪ; today
g ɹ ˈ æ n d; grand grande
m ˈ æ g ə z ˌ i n; magazine
k ə n ˈ eɪ d i ə n; canadian
ɹ ˌ i p l ˈ eɪ s t; replaced
ˈ ɛ ɹ k ɹ ˌ æ f t; aircraft
t͡ʃ ˈ eɪ n d͡ʒ; change
f ˈ ɪ l m z; film's films
t ˈ ɛ n; ten tenn
m ˈ ɛ d ə k ə l; medical
ˌ ɔ ɹ g ə n ə z ˈ eɪ ʃ ə n; organization
b ˈ æ ŋ k; banc bank banke banque
h ɪ s t ˈ ɔ ɹ ɪ k; historic
k ˈ oʊ s t; coast coste khost
k ˈ ɪ l d; killed
m ˈ æ n ə d͡ʒ m ə n t; management
d ɪ g ɹ ˈ i; degree
ɹ ˈ æ ð ɝ; rather wrather
ˈ ɪ n d ə s t ɹ i; industrie industry
ɹ ˈ ʌ ʃ ə n; russian
p ɹ ə f ˈ ɛ s ɝ; professor
t͡ʃ aɪ n ˈ i z; chinese
ˈ æ k ʃ ə n; action
k ˈ ɑ ɹ; car carr carre kahr karr
s ˈ i n j ɝ; senior sr
s ˈ ɪ s t ə m z; system's systems systems'
g ɹ ˈ i n; green greene
b ɹ ˈ ɪ d͡ʒ; bridge
t ɛ k n ˈ ɑ l ə d͡ʒ i; technology
ˈ ɔ l m ˌ oʊ s t; almost
ʃ ˈ oʊ z; show's shows shows'
b ˈ ɪ g; big
l ˈ oʊ ɝ; lower
w ˈ i k; weak week weick weik wieck
s ə k s ˈ ɛ s; success
ɹ ˈ aɪ t ɪ ŋ; writing
b ˈ eɪ s; base
d ˈ eɪ t ə; data
f ˈ æ m ə l i z; families families' family's
p ˈ oʊ s t; post
l ˈ i s t; leased least
m ˈ ɑ ɹ k ə t; market
p ɹ ˈ aɪ m ˌ ɛ ɹ i; primary
f ˈ i m ˌ eɪ l; female
ɹ ˈ i t͡ʃ t; reached
b ɪ g ˈ ɪ n ɪ ŋ; beginning
v ˈ æ l i; vallee valley valli
g ɹ ˈ aʊ n d; ground
t ˈ aɪ p; type
s t ˈ eɪ t ɪ d; stated
t ˈ i v ˈ i; tv
ˌ ɑ p ɝ ˈ eɪ ʃ ə n z; operation's operations operations'
ə t ˈ æ k; attack
h ˈ ɑ s p ˌ ɪ t ə l; hospital
s ˈ ɔ; saw
ə p ɹ ˈ ɑ k s ə m ə t l i; approximately
p ˈ ɔ l; paul paule paull pol
k ˈ ʌ l t͡ʃ ɝ; culture
ɹ i p ˈ ʌ b l ə k; republic
s ˈ aɪ z; sighs size
p ɹ ˈ i v i ə s l i; previously
d ˌ ɪ s ˈ aɪ d ɪ d; decided
ˌ ɪ n t ɹ ə d ˈ u s t; introduced
h ˈ ɪ l; hill hille
b ˈ ɪ l d ɪ ŋ z; building's buildings
t͡ʃ ˈ æ m p i ə n ʃ ˌ ɪ p s; championship's championships
p ɹ ə v ˈ aɪ d; provide
n ˈ eɪ t ɪ v; native
s ə k s ˈ ɛ s f ə l; successful
ˈ aʊ t s ˈ aɪ d; outside
p ˈ ɑ ɹ t s; part's parts parts'
v ˈ aɪ ə; via
θ ˈ i ə t ɝ; theater theatre
p l ˈ eɪ s t; placed
b ɪ h ˈ aɪ n d; behind
b ˈ eɪ; bay baye bayh bey
s ə m t ˈ aɪ m z; sometimes
l ˈ oʊ s; lohse los
p ɹ ˈ aɪ ɝ; prier prior pryer pryor
h ˈ u z; hoos who's whose
n ˈ æ t͡ʃ ɝ ə l; natural
ˈ æ k t ɪ v; active
f j ˈ u t͡ʃ ɝ; future
s k ˈ ɔ ɹ d; scored
ˌ ɪ t ˈ æ l j ə n; italian
ˈ æ f ɹ ə k ɑ; africa
s p ˈ æ n ɪ ʃ; spanish
ə t ˈ ɛ n d ɪ d; attended
p ˈ ʊ t; put
l ˈ ɪ s t ə d; listed
b ɹ ˈ ɔ t; brought
ɹ ˈ i d͡ʒ ə n ə l; regional
s t ɹ ˈ ʌ k t͡ʃ ɝ; structure
j ˈ u n ə t s; units
m ˈ aɪ k ə l; michael micheal
p ˈ ɑ s ə b ə l; possible
h ˈ ɛ n ɹ i; henri henry
m j ˌ u n ɪ s ə p ˈ æ l ə t i; municipality
h ˈ aɪ ɝ; heier hier higher hire hyer
s t ˈ ɑ ɹ t; start
k ə l ˈ ɛ k ʃ ə n; collection
ɹ ˈ ɛ g j ə l ɝ; regular
s t ˈ ɑ ɹ; staar star starr
ɹ ɪ z ˈ ʌ l t s; results
s k w ˈ ɛ ɹ; square
ˈ ɪ n t ɹ ə s t; interest
l ˈ i d ɝ; leader leeder lieder
ˌ ɛ k ə n ˈ ɑ m ɪ k; economic
ə s p ˈ ɛ ʃ l i; especially
k ˈ ɑ n t ɹ ˌ æ k t; contract
t ɹ ˈ eɪ d; trade
t ˈ ɛ k s ə s; texas
